user_id,quiz_id,overall_accuracy,mcq_accuracy,subjective_score,consistency,attempted_ratio,avg_time_spent,avg_difficulty
u8665,q8665,0.9,0.87,0.91,0.92,0.96,43.0,3
u5611,q5611,0.73,0.8,0.66,0.63,0.83,60.0,1
u1712,q1712,0.35,0.39,0.39,0.2,1.0,108.0,1
u1928,q1928,0.4,0.37,0.34,0.42,0.5,112.0,2
u3406,q3406,0.44,0.44,0.35,0.66,0.79,58.0,2
u8302,q8302,0.9,0.88,1.0,0.81,0.95,49.0,3
u7867,q7867,0.64,0.62,0.87,0.73,0.82,42.0,1
u1861,q1861,0.39,0.39,0.23,0.71,0.57,106.0,2
u8345,q8345,0.76,0.83,0.7,0.76,0.99,56.0,3
u2506,q2506,0.4,0.32,0.43,0.35,0.62,21.0,1
u9552,q9552,0.85,0.83,0.97,0.89,0.96,25.0,3
u9433,q9433,0.86,0.9,0.74,0.72,0.98,52.0,2
u4487,q4487,0.4,0.55,0.41,0.65,0.75,36.0,2
u8490,q8490,0.89,0.86,0.92,0.89,0.96,38.0,3
u9593,q9593,0.95,0.9,0.96,0.89,0.98,35.0,3
u264,q264,0.4,0.3,0.48,0.45,0.45,168.0,1
u6750,q6750,0.75,0.9,0.56,0.81,1.0,36.0,1
u6073,q6073,0.65,0.75,0.59,0.86,0.8,53.0,2
u1428,q1428,0.25,0.29,0.17,0.22,0.5,117.0,1
u9489,q9489,0.85,0.91,0.9,0.87,0.98,42.0,2
u5619,q5619,0.61,0.78,0.51,0.61,0.87,64.0,2
u1673,q1673,0.42,0.36,0.37,0.45,0.43,114.0,1
u3575,q3575,0.73,0.77,0.51,0.66,0.97,55.0,2
u9423,q9423,0.94,0.95,0.79,0.87,0.95,30.0,3
u4893,q4893,0.84,0.66,0.92,0.83,0.94,74.0,2
u2085,q2085,0.45,0.34,0.44,0.18,0.86,27.0,2
u2775,q2775,0.28,0.35,0.35,0.62,0.86,131.0,2
u4613,q4613,0.61,0.79,0.41,0.46,0.84,63.0,1
u8681,q8681,0.81,0.89,0.8,0.85,0.96,51.0,3
u474,q474,0.41,0.54,0.14,0.04,0.5,155.0,1
u6300,q6300,0.67,0.72,0.57,0.68,0.62,58.0,3
u7298,q7298,0.54,0.67,0.48,0.7,0.81,56.0,2
u3608,q3608,0.6,0.61,0.45,0.63,0.9,70.0,2
u6416,q6416,0.63,0.58,0.56,0.6,0.72,43.0,2
u4117,q4117,0.65,0.63,0.43,0.77,0.8,59.0,3
u9625,q9625,0.91,0.89,0.98,0.8,0.97,20.0,3
u1497,q1497,0.4,0.61,0.18,0.32,0.3,26.0,1
u5057,q5057,0.66,0.75,0.47,0.55,0.81,70.0,2
u1958,q1958,0.58,0.71,0.46,0.72,0.64,18.0,2
u3347,q3347,0.71,0.74,0.59,0.78,0.83,37.0,2
u33,q33,0.36,0.4,0.37,0.48,0.7,28.0,1
u7269,q7269,0.73,0.86,0.48,0.74,0.8,52.0,2
u3419,q3419,0.71,0.77,0.45,0.81,0.79,57.0,3
u4778,q4778,0.57,0.67,0.39,0.69,1.0,63.0,3
u1250,q1250,0.27,0.24,0.29,0.18,0.6,117.0,1
u5865,q5865,0.63,0.72,0.34,0.5,0.67,53.0,1
u8568,q8568,0.84,0.86,0.76,0.87,0.97,49.0,3
u2483,q2483,0.42,0.6,0.31,0.69,0.53,31.0,2
u7137,q7137,0.85,0.96,0.5,0.75,0.83,86.0,2
u3279,q3279,0.49,0.56,0.34,0.55,0.72,83.0,2
u2754,q2754,0.31,0.38,0.1,0.34,0.55,21.0,1
u4200,q4200,0.71,0.72,0.57,0.58,0.93,78.0,1
u2961,q2961,0.32,0.32,0.18,0.47,0.6,135.0,1
u4572,q4572,0.6,0.71,0.41,0.56,0.94,87.0,1
u2616,q2616,0.2,0.47,0.0,0.25,0.61,127.0,1
u2248,q2248,0.19,0.27,0.07,0.34,0.58,24.0,1
u5495,q5495,0.72,0.61,0.77,0.56,0.82,46.0,2
u8987,q8987,0.93,0.93,0.96,0.93,0.97,23.0,2
u6430,q6430,0.72,0.71,0.64,0.6,0.97,64.0,1
u1009,q1009,0.44,0.5,0.23,0.6,0.43,144.0,1
u9482,q9482,0.88,0.86,0.8,0.76,0.96,36.0,3
u4851,q4851,0.72,0.67,0.76,0.72,0.78,45.0,3
u54,q54,0.28,0.46,0.18,0.53,0.53,111.0,1
u1563,q1563,0.12,0.16,0.17,0.55,0.61,32.0,1
u1321,q1321,0.31,0.41,0.3,0.5,0.65,143.0,1
u2566,q2566,0.38,0.36,0.4,0.4,0.6,128.0,1
u7053,q7053,0.65,0.78,0.38,0.71,1.0,69.0,2
u4832,q4832,0.54,0.66,0.36,0.73,1.0,68.0,2
u2599,q2599,0.49,0.52,0.32,0.24,0.48,29.0,1
u2976,q2976,0.31,0.41,0.2,0.26,0.32,22.0,1
u4135,q4135,0.69,0.74,0.57,0.76,0.72,58.0,1
u9959,q9959,0.83,0.88,0.82,0.83,0.99,50.0,3
u1004,q1004,0.33,0.34,0.37,0.36,0.62,154.0,1
u5586,q5586,0.69,0.63,0.53,0.59,0.93,89.0,3
u7653,q7653,0.66,0.74,0.46,0.66,0.87,61.0,1
u1162,q1162,0.55,0.63,0.37,0.39,0.57,143.0,1
u1430,q1430,0.29,0.37,0.23,0.17,0.35,24.0,2
u4647,q4647,0.57,0.63,0.51,0.67,0.81,59.0,2
u7596,q7596,0.8,0.85,0.43,0.71,0.81,59.0,1
u7122,q7122,0.56,0.72,0.57,0.74,0.71,70.0,2
u499,q499,0.29,0.31,0.27,0.39,0.61,123.0,1
u4097,q4097,0.47,0.67,0.32,0.79,1.0,74.0,3
u9360,q9360,0.98,0.9,0.95,0.77,0.98,66.0,3
u2179,q2179,0.51,0.6,0.28,0.51,0.53,25.0,1
u8286,q8286,0.8,0.92,0.76,0.86,1.0,33.0,3
u8656,q8656,0.83,0.88,0.9,0.85,0.96,55.0,3
u7534,q7534,0.56,0.67,0.48,0.64,0.81,84.0,2
